Compound,Reference Compound,Weight %
Toluene,toluene,0.01
C2-Benzene,ethyl benzene ,0
C3-Benzene,propyl benzene,0.01
C4-Benzene,butyl benzene,0
C5-Benzene,pentyl benzene,0
C6-Benzene,hexyl benzene,0
C7-Benzene,heptyl benzene,0
C8-Benzene,octyl benzene,0
C9-Benzene,nonyl benzene,0
Diaromatic-C10,naphthalene,0
Diaromatic-C11,1-methyl naphthalene,0
Diaromatic-C12,1-ethyl naphthalene,0
Diaromatic-C13,1-propyl naphthalene,0
Cycloaromatic-C09,indane,0
Cycloaromatic-C10,tetralin,0
Cycloaromatic-C11,2-methyl tetralin,0
Cycloaromatic-C12,2-ethly tetralin,0
Cycloaromatic-C13,2-propyl tetralin,0
Cycloaromatic-C14,2-butyl tetralin,0
C07-Isoparaffin (lower put as same),2-methyl hexane,0.01
C08-Isoparaffin,2-methyl heptane,1.77
C09-Isoparaffin,2-methyl octane,3.65
C10-Isoparaffin,2-methyl nonane,6.69
C11-Isoparaffin,2-methyl decane,10.33
C12-Isoparaffin,2-methyl undecane,12.37
C13-Isoparaffin,2-methyl dodecane,11.54
C14-Isoparaffin,2-methyl tridecane,13.98
C15-Isoparaffin,2-methyl tetradecane,4.29
C16-Isoparaffin,2-methyl pentadecane,20.73
C17-Isoparaffin,2-methyl hexadecane,0.29
C18-Isoparaffin,2-methyl heptadecane,3.44
C19-Isoparaffin,2-methyl octadecane,0
C20-Isoparaffin,2-methyl nonadecane,0
n-C07,n-heptane,0
n-C08,n-octane,0.54
n-C09,n-nonane,1
n-C10,n-decane,1.42
n-C11,n-undecane,1.36
n-C12,n-dodecane,1.44
n-C13,n-tridecane,0.87
n-C14,n-tetradecane,1.67
n-C15,n-pentadecane,0.18
n-C16,n-hexadecane (cetane),0.7
n-C17,n-heptadecane,0.01
n-C18,n-octadecane,0
C07-Monocycloparaffin,methyl cyclohexane,0.07
C08-Monocycloparaffin,ethyl cyclohexane,0.76
C09-Monocycloparaffin,propyl cyclohexane,0.41
C10-Monocycloparaffin,butyl cyclohexane,0.27
C11-Monocycloparaffin,pentyl cyclohexane,0.14
C12-Monocycloparaffin,hexyl cyclohexane,0.02
C13-Monocycloparaffin,heptyl cyclohexane,0.01
C14-Monocycloparaffin,octyl cyclohexane,0
C15-Monocycloparaffin,nonyl cyclohexane,0
C16-Monocycloparaffin,decyl cyclohexane,0
C17-Monocycloparaffin,undecyl cyclohexane,0
C08-Dicycloparaffin,Octahydropentalene,0
C09-Dicycloparaffin,Hydrindane,0
C10-Dicycloparaffin,Decalin,0
C11-Dicycloparaffin,2-methyldecalin,0
C12-Dicycloparaffin,2-ethyldecalin,0
C13-Dicycloparaffin,2-propyldecalin,0
C14-Dicycloparaffin,2-butyldecalin,0
C15-Dicycloparaffin,2-pentyldacalin,0
C10-Tricycloparaffin,,0
C11-Tricycloparaffin,,0
C12-Tricycloparaffin,,0
