Compound,Reference Compound,Weight %
Toluene,toluene,0
C2-Benzene,ethyl benzene ,0
C3-Benzene,propyl benzene,0
C4-Benzene,butyl benzene,0
C5-Benzene,pentyl benzene,0
C6-Benzene,hexyl benzene,0
C7-Benzene,heptyl benzene,0
C8-Benzene,octyl benzene,0
C9-Benzene,nonyl benzene,0
Diaromatic-C10,naphthalene,0
Diaromatic-C11,1-methyl naphthalene,0
Diaromatic-C12,1-ethyl naphthalene,0
Diaromatic-C13,1-propyl naphthalene,0
Cycloaromatic-C09,indane,0
Cycloaromatic-C10,tetralin,0
Cycloaromatic-C11,2-methyl tetralin,0
Cycloaromatic-C12,2-ethly tetralin,0
Cycloaromatic-C13,2-propyl tetralin,0
Cycloaromatic-C14,2-butyl tetralin,0
C07-Isoparaffin (lower put as same),2-methyl hexane,0
C08-Isoparaffin,2-methyl heptane,0.06
C09-Isoparaffin,2-methyl octane,6.13
C10-Isoparaffin,2-methyl nonane,12.14
C11-Isoparaffin,2-methyl decane,12.6
C12-Isoparaffin,2-methyl undecane,13.52
C13-Isoparaffin,2-methyl dodecane,12.69
C14-Isoparaffin,2-methyl tridecane,8.75
C15-Isoparaffin,2-methyl tetradecane,21.74
C16-Isoparaffin,2-methyl pentadecane,4.13
C17-Isoparaffin,2-methyl hexadecane,0
C18-Isoparaffin,2-methyl heptadecane,0
C19-Isoparaffin,2-methyl octadecane,0
C20-Isoparaffin,2-methyl nonadecane,0
n-C07,n-heptane,0
n-C08,n-octane,0.1
n-C09,n-nonane,1.84
n-C10,n-decane,1.69
n-C11,n-undecane,1.33
n-C12,n-dodecane,1.12
n-C13,n-tridecane,0.86
n-C14,n-tetradecane,0.56
n-C15,n-pentadecane,0.32
n-C16,n-hexadecane (cetane),0
n-C17,n-heptadecane,0
n-C18,n-octadecane,0
C07-Monocycloparaffin,methyl cyclohexane,0
C08-Monocycloparaffin,ethyl cyclohexane,0.22
C09-Monocycloparaffin,propyl cyclohexane,0.18
C10-Monocycloparaffin,butyl cyclohexane,0.02
C11-Monocycloparaffin,pentyl cyclohexane,0.01
C12-Monocycloparaffin,hexyl cyclohexane,0
C13-Monocycloparaffin,heptyl cyclohexane,0
C14-Monocycloparaffin,octyl cyclohexane,0
C15-Monocycloparaffin,nonyl cyclohexane,0
C16-Monocycloparaffin,decyl cyclohexane,0
C17-Monocycloparaffin,undecyl cyclohexane,0
C08-Dicycloparaffin,Octahydropentalene,0
C09-Dicycloparaffin,Hydrindane,0
C10-Dicycloparaffin,Decalin,0
C11-Dicycloparaffin,2-methyldecalin,0
C12-Dicycloparaffin,2-ethyldecalin,0
C13-Dicycloparaffin,2-propyldecalin,0
C14-Dicycloparaffin,2-butyldecalin,0
C15-Dicycloparaffin,2-pentyldacalin,0
C10-Tricycloparaffin,,0
C11-Tricycloparaffin,,0
C12-Tricycloparaffin,,0
