Compound,Reference Compound,Weight %
Toluene,toluene,0.07
C2-Benzene,ethyl benzene ,1.79
C3-Benzene,propyl benzene,4.54
C4-Benzene,butyl benzene,3.27
C5-Benzene,pentyl benzene,2.73
C6-Benzene,hexyl benzene,1.76
C7-Benzene,heptyl benzene,0.98
C8-Benzene,octyl benzene,0.47
C9-Benzene,nonyl benzene,0.15
Diaromatic-C10,naphthalene,0.11
Diaromatic-C11,1-methyl naphthalene,0.44
Diaromatic-C12,1-ethyl naphthalene,0.63
Diaromatic-C13,1-propyl naphthalene,0.51
Cycloaromatic-C09,indane,0.14
Cycloaromatic-C10,tetralin,0.45
Cycloaromatic-C11,2-methyl tetralin,2.43
Cycloaromatic-C12,2-ethly tetralin,2.21
Cycloaromatic-C13,2-propyl tetralin,1.46
Cycloaromatic-C14,2-butyl tetralin,0.42
C07-Isoparaffin,2-methyl hexane,0.01
C08-Isoparaffin,2-methyl heptane,0.31
C09-Isoparaffin,2-methyl octane,4.12
C10-Isoparaffin,2-methyl nonane,6.63
C11-Isoparaffin,2-methyl decane,5.02
C12-Isoparaffin,2-methyl undecane,3.21
C13-Isoparaffin,2-methyl dodecane,2.95
C14-Isoparaffin,2-methyl tridecane,2.39
C15-Isoparaffin,2-methyl tetradecane,1.66
C16-Isoparaffin,2-methyl pentadecane,0.87
C17-Isoparaffin,2-methyl hexadecane,0.19
C18-Isoparaffin,2-methyl heptadecane,0.08
C19-Isoparaffin,2-methyl octadecane,0
C20-Isoparaffin,2-methyl nonadecane,0
n-C07,n-heptane,0
n-C08,n-octane,0.67
n-C09,n-nonane,4.42
n-C10,n-decane,4.73
n-C11,n-undecane,3.44
n-C12,n-dodecane,2.49
n-C13,n-tridecane,1.93
n-C14,n-tetradecane,1.31
n-C15,n-pentadecane,0.79
n-C16,n-hexadecane (cetane),0.38
n-C17,n-heptadecane,0.09
n-C18,n-octadecane,0.02
C07-Monocycloparaffin,methyl cyclohexane,0.19
C08-Monocycloparaffin,ethyl cyclohexane,5.81
C09-Monocycloparaffin,propyl cyclohexane,5.26
C10-Monocycloparaffin,butyl cyclohexane,4.58
C11-Monocycloparaffin,pentyl cyclohexane,2.82
C12-Monocycloparaffin,hexyl cyclohexane,2.5
C13-Monocycloparaffin,heptyl cyclohexane,1.53
C14-Monocycloparaffin,octyl cyclohexane,0.65
C15-Monocycloparaffin,nonyl cyclohexane,0.02
C16-Monocycloparaffin,decyl cyclohexane,0
C17-Monocycloparaffin,undecyl cyclohexane,0
C08-Dicycloparaffin,Octahydropentalene,0.86
C09-Dicycloparaffin,Hydrindane,1.21
C10-Dicycloparaffin,Decalin,1.05
C11-Dicycloparaffin,2-methyldecalin,0.8
C12-Dicycloparaffin,2-ethyldecalin,0.27
C13-Dicycloparaffin,2-propyldecalin,0.09
C14-Dicycloparaffin,2-butyldecalin,0
C15-Dicycloparaffin,2-pentyldacalin,0
C10-Tricycloparaffin,,0
C11-Tricycloparaffin,,0
C12-Tricycloparaffin,,0
