Fuel,Density_Model,Density_Experiment
,kg/m^3,kg/m^3
S-IPK-A,782.8,780.28
S-HN1,760.2,767.31
S-HN2,821.1,833.62
S-LD2,870.4,881.85
S-IPK,756.9,747.67
S-LD1,793.1,799.87
JS-A1,793.9,800.69
JS-A1.3,785.9,784.98
JS-B3,824.2,830.15
JS-C1,864.1,882.27
E1-Ref1,810.5,805.34
E1-Ref2,809.7,807.18
E1-SSJF1,791.5,783.34
E1-SSJF2,784.5,778.5
E1-SSJF3,804,801.22
E1-FSJF,808.9,811.1
E2-Ref3,814.8,823.68
E2-Ref4,790.6,795.41
E2-SAJF1,785,789.52
E2-SAJF2,777.9,782.59
E2-SAJF3,796.4,800.64
JS-B1,762.7,710.15
Acc-HEFA50,785,788.5
ATJ-SKA,786,747.17
FT-Light,761.7,724.93
Farnesane,772.5,773.1
